percent,time_ms,scale,opacity
0.0000,0,1.00000,1.0000
0.7426,15,0.99992,1.0000
1.4851,30,0.99942,1.0000
2.2277,45,0.99815,1.0000
2.9703,60,0.99589,1.0000
3.7129,75,0.99245,1.0000
4.4554,90,0.98777,1.0000
5.1980,105,0.98184,1.0000
5.9406,120,0.97469,1.0000
6.6832,135,0.96642,1.0000
7.4257,150,0.95718,1.0000
8.1683,165,0.94715,1.0000
8.9109,180,0.93653,1.0000
9.6535,195,0.92555,1.0000
10.3960,210,0.91445,1.0000
11.1386,225,0.90347,1.0000
11.8812,240,0.89285,1.0000
12.6238,255,0.88282,1.0000
13.3663,270,0.87358,1.0000
14.1089,285,0.86531,1.0000
14.8515,300,0.85816,1.0000
15.5941,315,0.85223,1.0000
16.3366,330,0.84755,1.0000
17.0792,345,0.84411,1.0000
17.8218,360,0.84185,1.0000
18.5644,375,0.84058,1.0000
19.3069,390,0.84008,1.0000
20.0495,405,0.84000,1.0000
20.7921,420,0.84024,1.0000
21.5347,435,0.84175,1.0000
22.2772,450,0.84540,1.0000
23.0198,465,0.85171,1.0000
23.7624,480,0.86083,1.0000
24.5050,495,0.87265,1.0000
25.2475,510,0.88681,1.0000
25.9901,525,0.90281,1.0000
26.7327,540,0.91997,1.0000
27.4752,555,0.93757,1.0000
28.2178,570,0.95484,1.0000
28.9604,585,0.97104,1.0000
29.7030,600,0.98550,1.0000
30.4455,615,0.99767,1.0000
31.1881,630,1.00718,1.0000
31.9307,645,1.01388,1.0000
32.6733,660,1.01789,1.0000
33.4158,675,1.01965,1.0000
34.1584,690,1.02000,1.0000
34.9010,705,1.01996,1.0000
35.6436,720,1.01961,1.0000
36.3861,735,1.01874,1.0000
37.1287,750,1.01728,1.0000
37.8713,765,1.01528,1.0000
38.6139,780,1.01285,1.0000
39.3564,795,1.01019,1.0000
40.0990,810,1.00751,1.0000
40.8416,825,1.00504,1.0000
41.5842,840,1.00297,1.0000
42.3267,855,1.00143,1.0000
43.0693,870,1.00048,1.0000
43.8119,885,1.00007,1.0000
44.5545,900,1.00000,1.0000
100.0000,2020,1.00000,1.0000
